Date,sigma_p_pct,VaR_95,VaR_99,CVaR_95,CVaR_99,actual_return_decimal,actual_pnl,actual_loss
2023-12-08,0.7637970110170353,125636.97034219214,177682.09867289293,157548.4094624839,203567.17937626026,0.0006718947030703001,6718.9470307030015,-6718.9470307030015
2023-12-11,0.7607780089156416,125140.37468653389,176979.7882140457,156925.67989902938,202762.5549361968,-0.004001495082932257,-40014.95082932257,40014.95082932257
2023-12-12,0.7941024291936082,130621.90857805662,184732.04810330906,163799.50806976555,211644.17942868048,-0.0031463405324505503,-31463.405324505504,31463.405324505504
2023-12-13,0.7655736595319086,125929.21125640365,178095.40041690788,157914.87875164676,204040.69173844426,-0.0031282751324962434,-31282.751324962435,31282.751324962435
2023-12-14,0.7507287312907424,123487.36901001421,174642.02476016537,154852.81540334143,200084.22146360867,0.013244739322910051,132447.3932291005,-132447.3932291005
2023-12-15,0.7775125439380298,127893.03835236652,180872.74309630386,160377.51243809742,207222.64321036372,0.01276863988836386,127686.3988836386,-127686.3988836386
2023-12-18,0.8069909370424769,132741.93923411702,187730.3016841914,166458.0205837517,215079.22454056094,-0.0013682928513495645,-13682.928513495644,13682.928513495644
2023-12-19,0.796159627283094,130960.29709179614,185210.61409486612,164223.8463196838,212192.4638634902,0.0007769897224723713,7769.8972247237125,-7769.8972247237125
2023-12-20,0.7849646601699494,129118.83695135498,182606.32889533532,161914.66045325546,209208.78122849492,-0.0084808616858465,-84808.616858465,84808.616858465
2023-12-21,0.7869014845397854,129437.42519194928,183056.89234849025,162314.16921602152,209724.98365954356,-0.0005847201062928783,-5847.201062928783,5847.201062928783
2023-12-22,0.7772687819720953,127852.94194658997,180816.0367501685,160327.23165738408,207157.67577120286,0.008634997392395214,86349.97392395214,-86349.97392395214
2023-12-26,0.8075458853586337,132833.22268264167,187859.39931097894,166572.4897729254,215227.12936578307,0.0020046252048442716,20046.252048442715,-20046.252048442715
2023-12-27,0.7922505241907433,130317.28872413536,184301.23944249263,163417.51562482462,211150.6097073169,0.006176175368933815,61761.75368933815,-61761.75368933815
2023-12-28,0.7840130761320417,128962.31089295953,182384.96190059686,161718.37721375623,208955.16505071174,0.005506042903793765,55060.42903793765,-55060.42903793765
2023-12-29,0.7792819144724044,128184.0821115658,181284.35176371541,160742.48049822284,207694.21584518522,-0.0027964084745532997,-27964.084745532997,27964.084745532997
2024-01-01,0.7654185652276304,125903.69979429293,178059.32082890364,157882.88744950332,203999.35600446805,0.0018803082841137783,18803.082841137784,-18803.082841137784
2024-01-02,0.7464316905039292,122780.54877099131,173642.40416192904,153966.46480024548,198938.9741531072,0.00038512124801601423,3851.212480160142,-3851.212480160142
2024-01-03,0.7551922329698367,124221.57040120846,175680.3691557731,155773.50189468823,201273.8339311209,-0.007145033459709757,-71450.33459709756,71450.33459709756
2024-01-04,0.7615227960580747,125262.88472359271,177153.04804698992,157079.30714289908,202961.05560539808,0.006935123981741969,69351.23981741969,-69351.23981741969
2024-01-05,0.7741874185590565,127346.0884787792,180099.21917939332,159691.63882617658,206336.4307943597,0.004497517522384064,44975.17522384064,-44975.17522384064
2024-01-08,0.7601992564588945,125045.17569492356,176845.15303003264,156806.30062977617,202608.30583142457,-0.008589426723915584,-85894.26723915584,85894.26723915584
2024-01-09,0.7653292083080391,125889.00147458934,178038.5337286991,157864.45579769922,203975.54059825858,0.00013049478788693583,1304.9478788693582,-1304.9478788693582
2024-01-10,0.748000933409221,123038.67353648276,174007.45713898708,154290.15253432002,199357.2087722256,0.0011623957230837997,11623.957230837997,-11623.957230837997
2024-01-11,0.7474671392937737,122950.86974243286,173883.28061391058,154180.04682212672,199214.94196457657,-0.002099111053953181,-20991.11053953181,20991.11053953181
2024-01-12,0.7511506300394889,123556.76713519554,174740.1710660863,154939.84045824537,200196.66591812458,0.01638821522459182,163882.15224591817,-163882.15224591817
2024-01-15,0.8247515694517727,135663.38565912208,191861.95760156587,170121.50623081715,219812.78829028644,0.014019881568933842,140198.81568933843,-140198.81568933843
2024-01-16,0.8664529164041268,142522.84021931482,201562.94194309198,178723.24306667922,230927.03128002785,-0.003498647437512764,-34986.47437512764,34986.47437512764
2024-01-17,0.843711696172822,138782.1369034675,196272.65188068358,174032.411569568,224866.04126398056,-0.016891962720704343,-168919.62720704344,168919.62720704344
2024-01-18,0.9197274101160714,151285.96168999257,213956.18741530165,189712.17288464203,245125.74934413534,-0.00024413258194067153,-2441.3258194067153,2441.3258194067153
