date,daily_loss,var95,var99,hit95,hit99,rolling_breach95,rolling_breach99,uce95
2019-09-12,67992.54828133657,162015.09173438745,229129.86072205336,0,0,0.05,0.016666666666666666,0.0
2019-09-13,-64354.6681277075,161488.2727415709,228384.80690541453,0,0,0.05,0.016666666666666666,0.0
2019-09-16,277.844426698857,160169.8821070791,226520.2728103216,0,0,0.05,0.016666666666666666,0.0
2019-09-17,142524.9567290015,155737.84008391667,220252.25690754168,0,0,0.05,0.016666666666666666,0.0
2019-09-18,1030.1599408090717,159897.69858428722,226135.33723425577,0,0,0.05,0.016666666666666666,0.0
2019-09-19,141901.06169076558,156572.23285328277,221432.2969703883,0,0,0.05,0.016666666666666666,0.0
2019-09-20,-478550.7182398633,158461.6588535827,224104.41789232744,0,0,0.05,0.016666666666666666,0.0
2019-09-23,-199047.93381178644,218502.1104222359,309016.63291096565,0,0,0.05,0.016666666666666666,0.0
2019-09-24,-29530.69873390021,232878.3753988588,329348.2671836374,0,0,0.05,0.016666666666666666,0.0
2019-09-25,107169.06868601205,225616.80255476417,319078.5870163219,0,0,0.05,0.016666666666666666,0.0
2019-09-26,-107536.05999361177,220224.9285154075,311453.1285825232,0,0,0.05,0.016666666666666666,0.0
2019-09-27,67383.08215353207,216736.23048918365,306519.23702777544,0,0,0.05,0.016666666666666666,0.0
2019-09-30,20038.147682503564,212576.49680570347,300636.3332233619,0,0,0.05,0.016666666666666666,0.0
2019-10-01,106118.63390823914,210046.9336344035,297058.8982392321,0,0,0.05,0.016666666666666666,0.0
2019-10-03,22035.28331868,206676.16782990616,292291.7923416078,0,0,0.05,0.016666666666666666,0.0
2019-10-04,89870.11056552619,200406.2873151556,283424.6131565727,0,0,0.03333333333333333,0.016666666666666666,0.01666666666666667
2019-10-07,42687.23796874736,199502.99579708977,282147.13303104736,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-10-09,-104686.06375941348,192665.34125990572,272476.9793743806,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-10-10,67187.47860100608,192851.35214352637,272740.0452863307,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-10-11,-76942.92804323464,190819.04340974076,269865.85244335816,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-10-14,-66065.28192534429,187397.29679888007,265026.64693491074,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-10-15,-90405.238830153,184985.6740992016,261616.0092753193,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-10-16,-73038.66665167836,182142.88017699352,257595.5876683932,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-10-17,-100727.09705145129,178332.9924899516,252207.45360166236,0,0,0.016666666666666666,0.0,0.03333333333333334
2019-10-18,-56780.10695449656,175168.16886446733,247731.60145261735,0,0,0.016666666666666666,0.0,0.03333333333333334
