date,AXISBANK,BAJFINANCE,DRREDDY,HDFCBANK,HINDUNILVR,ICICIBANK,INFY,ITC,MARUTI,ONGC,RELIANCE,SUNPHARMA,TCS,WIPRO
2019-05-03,10897.333003060532,11294.95805143117,6905.626004906085,8677.551574092704,6189.009365783152,14265.365064514532,10978.472849155876,6893.256871220386,10676.93743578013,9910.803927254705,11295.065101145035,9149.676215243348,10105.711919548943,10842.76347684885
2019-05-06,10646.598968921327,11120.232688968017,6638.928359114679,8416.564513923122,6698.040328893361,13974.704160414312,10828.909912122355,6772.796140191197,10342.88172985875,9582.808706709378,10945.029044191733,8913.998613959422,11329.019217020043,10797.796030942687
2019-05-07,10858.698939008655,12067.824774084062,6460.1231675096105,8910.226782737687,6930.128866996373,13495.440238739906,10503.44142948988,6702.265044928009,10031.128901441027,9264.143773059888,11145.106390385145,8682.567801880616,11000.525580571919,10460.062817902573
2019-05-08,10857.912914066237,11864.984701862442,6485.162786577398,8665.953647570626,7094.172709380235,15416.306831873608,10096.83732174449,7001.754986730301,9718.24937507404,9031.471469871025,12186.12402182544,8631.868348589254,10606.959476273583,10225.777439111389
2019-05-09,10785.849174120034,13452.416914138139,7392.106226271289,8510.658379785824,6787.759599809388,15018.414466008266,9825.937224696529,6874.592255002013,9502.372936260741,9451.018180986313,13504.76984867716,8975.434239617782,10156.601544207944,10158.729019012397
2019-05-10,10692.729106210923,13497.519258443426,6701.9422044916,8419.111646712248,6633.130160317505,14504.040245909542,9523.33417034459,6784.125155856098,9284.167421804395,9203.148729418994,14496.325851721009,8754.966899555884,9940.081525805213,9911.2237921773
2019-05-13,10449.36946662588,13612.026155335503,6861.802159906559,8149.603948329652,6578.563151077928,14003.420099487554,9390.980990318758,6758.596044535554,9016.89232940836,9723.587712881881,13995.529619208635,8601.162141369532,10037.40874127661,9740.97359162494
2019-05-14,10054.726244352785,12759.644921877378,9971.045422955513,7750.913467100348,6171.566693273764,14323.966720855049,8872.260160004818,7938.120296840218,8999.966445735714,9738.649688383493,13651.055384023204,15692.245937600883,9515.979356162656,9408.641545433513
2019-05-15,9891.335589268465,12845.20613665253,7994.809914619148,7552.8558524915,5904.941398267043,13998.246007114536,8837.006617917916,8126.530705896244,8818.14437776498,9438.92054327726,13836.493357924952,16814.45290768634,9546.951988248222,9633.240643637897
2019-05-16,10122.773307353897,14612.826188918334,7175.23530511348,7409.477626838826,6264.657105234978,13689.981263462387,8640.982175641448,8002.197001889678,8863.409589736637,9315.858650005868,13358.725365792629,16596.744194915816,9280.71410232824,9472.227891943545
2019-05-17,10065.055991451676,15889.72535755141,6901.4989712564575,7538.003674183382,6271.117300732096,13523.28808873124,9509.575467504357,7771.3779466892665,8570.44822833745,9610.391680545621,12929.59020811513,16042.663449394626,9138.695044443271,9455.058231430094
2019-05-20,10198.183877594738,19730.036409949636,8144.714004304877,8588.01294669891,7825.263336022457,13544.364310176688,9206.24532886109,8224.282786704185,10232.50046079226,9284.773936256432,12323.525854756122,15260.757999584674,8723.894176038086,9172.141512454842
